date,open,high,low,close,volume,adjusted
12/01/2018,2770.179932,2787.850098,2769.639893,2786.23999,3587220000,2786.23999
16/01/2018,2798.959961,2807.540039,2768.639893,2776.419922,4362880000,2776.419922
17/01/2018,2784.98999,2807.040039,2778.379883,2802.560059,3790340000,2802.560059
18/01/2018,2802.399902,2805.830078,2792.560059,2798.030029,3703300000,2798.030029
19/01/2018,2802.600098,2810.330078,2798.080078,2810.300049,3724230000,2810.300049
22/01/2018,2809.159912,2833.030029,2808.120117,2832.969971,3489480000,2832.969971
23/01/2018,2835.050049,2842.23999,2830.590088,2839.129883,3541140000,2839.129883
24/01/2018,2845.419922,2852.969971,2824.810059,2837.540039,4079270000,2837.540039
25/01/2018,2846.23999,2848.560059,2830.939941,2839.25,3873100000,2839.25
26/01/2018,2847.47998,2872.870117,2846.179932,2872.870117,3474680000,2872.870117
29/01/2018,2867.22998,2870.620117,2851.47998,2853.530029,3587420000,2853.530029
30/01/2018,2832.73999,2837.75,2818.27002,2822.429932,4012070000,2822.429932
31/01/2018,2832.409912,2839.26001,2813.040039,2823.810059,4276270000,2823.810059
01/02/2018,2816.449951,2835.959961,2812.699951,2821.97998,3977380000,2821.97998
02/02/2018,2808.919922,2808.919922,2759.969971,2762.129883,4340220000,2762.129883
05/02/2018,2741.060059,2763.389893,2638.169922,2648.939941,5310840000,2648.939941
06/02/2018,2614.780029,2701.040039,2593.070068,2695.139893,5917350000,2695.139893
07/02/2018,2690.949951,2727.669922,2681.330078,2681.659912,4646300000,2681.659912
08/02/2018,2685.01001,2685.27002,2580.560059,2581,5333840000,2581
09/02/2018,2601.780029,2638.669922,2532.689941,2619.550049,5690110000,2619.550049
12/02/2018,2636.75,2672.610107,2622.449951,2656,4069220000,2656
13/02/2018,2646.27002,2668.840088,2637.080078,2662.939941,3503540000,2662.939941
14/02/2018,2651.209961,2702.100098,2648.870117,2698.629883,4011940000,2698.629883
15/02/2018,2713.459961,2731.51001,2689.820068,2731.199951,3696140000,2731.199951
16/02/2018,2727.139893,2754.419922,2725.110107,2732.219971,3646920000,2732.219971
20/02/2018,2722.98999,2737.600098,2706.76001,2716.26001,3646920000,2716.26001
21/02/2018,2720.530029,2747.75,2701.290039,2701.330078,3789040000,2701.330078
22/02/2018,2710.419922,2731.26001,2697.77002,2703.959961,3720620000,2703.959961
23/02/2018,2715.800049,2747.76001,2713.73999,2747.300049,3200360000,2747.300049
26/02/2018,2757.370117,2780.639893,2753.780029,2779.600098,3436590000,2779.600098
27/02/2018,2780.449951,2789.149902,2744.219971,2744.280029,3752070000,2744.280029
28/02/2018,2753.780029,2761.52002,2713.540039,2713.830078,4244570000,2713.830078
01/03/2018,2715.219971,2730.889893,2659.649902,2677.669922,4514490000,2677.669922
02/03/2018,2658.889893,2696.25,2647.320068,2691.25,3891250000,2691.25
05/03/2018,2681.060059,2728.090088,2675.75,2720.939941,3733640000,2720.939941
06/03/2018,2730.179932,2732.080078,2711.26001,2728.120117,3389030000,2728.120117
07/03/2018,2710.179932,2730.600098,2701.73999,2726.800049,3406690000,2726.800049
08/03/2018,2732.75,2740.449951,2722.649902,2738.969971,3206040000,2738.969971
09/03/2018,2752.909912,2786.570068,2751.540039,2786.570068,3376870000,2786.570068
12/03/2018,2790.540039,2796.97998,2779.26001,2783.02002,3216960000,2783.02002
13/03/2018,2792.310059,2801.899902,2758.679932,2765.310059,3324290000,2765.310059
14/03/2018,2774.060059,2777.110107,2744.379883,2749.47998,3394630000,2749.47998
15/03/2018,2754.27002,2763.030029,2741.469971,2747.330078,3543710000,2747.330078
16/03/2018,2750.570068,2761.850098,2749.969971,2752.01001,5429140000,2752.01001
19/03/2018,2741.379883,2741.379883,2694.590088,2712.919922,3327460000,2712.919922
20/03/2018,2715.050049,2724.219971,2710.050049,2716.939941,3272590000,2716.939941
21/03/2018,2714.98999,2739.139893,2709.790039,2711.929932,3434780000,2711.929932
22/03/2018,2691.360107,2695.679932,2641.590088,2643.689941,3765460000,2643.689941
23/03/2018,2646.709961,2657.669922,2585.889893,2588.26001,3829380000,2588.26001
26/03/2018,2619.350098,2661.360107,2601.810059,2658.550049,3538080000,2658.550049
27/03/2018,2667.570068,2674.780029,2596.120117,2612.620117,3761320000,2612.620117
28/03/2018,2611.300049,2632.649902,2593.060059,2605,3875720000,2605
29/03/2018,2614.409912,2659.070068,2609.719971,2640.870117,3572360000,2640.870117
02/04/2018,2633.449951,2638.300049,2553.800049,2581.879883,3635780000,2581.879883
03/04/2018,2592.169922,2619.139893,2575.48999,2614.449951,3395840000,2614.449951
04/04/2018,2584.040039,2649.860107,2573.610107,2644.689941,3369230000,2644.689941
05/04/2018,2657.360107,2672.080078,2649.580078,2662.840088,3230430000,2662.840088
06/04/2018,2645.820068,2656.879883,2586.27002,2604.469971,3312390000,2604.469971
09/04/2018,2617.179932,2653.550049,2610.790039,2613.159912,3076140000,2613.159912
10/04/2018,2638.409912,2665.449951,2635.780029,2656.870117,3579130000,2656.870117
11/04/2018,2643.889893,2661.429932,2639.25,2642.189941,3054520000,2642.189941
12/04/2018,2653.830078,2674.719971,2653.830078,2663.98999,3045330000,2663.98999
13/04/2018,2676.899902,2680.26001,2645.050049,2656.300049,2988540000,2656.300049
16/04/2018,2670.100098,2686.48999,2665.159912,2677.840088,3020740000,2677.840088
17/04/2018,2692.73999,2713.340088,2692.050049,2706.389893,3286190000,2706.389893
18/04/2018,2710.110107,2717.48999,2703.629883,2708.639893,3412030000,2708.639893
19/04/2018,2701.159912,2702.840088,2681.899902,2693.129883,3375120000,2693.129883
20/04/2018,2692.560059,2693.939941,2660.610107,2670.139893,3428260000,2670.139893
23/04/2018,2675.399902,2682.860107,2657.98999,2670.290039,3030390000,2670.290039
24/04/2018,2680.800049,2683.550049,2617.320068,2634.560059,3716020000,2634.560059
25/04/2018,2634.919922,2645.300049,2612.669922,2639.399902,3563680000,2639.399902
26/04/2018,2651.649902,2676.47998,2647.159912,2666.939941,3690920000,2666.939941
27/04/2018,2675.469971,2677.350098,2659.01001,2669.909912,3234510000,2669.909912
30/04/2018,2682.51001,2682.870117,2648.040039,2648.050049,3749510000,2648.050049
01/05/2018,2642.959961,2655.27002,2625.409912,2654.800049,3562820000,2654.800049
02/05/2018,2654.23999,2660.870117,2631.699951,2635.669922,4047020000,2635.669922
03/05/2018,2628.080078,2637.139893,2594.620117,2629.72998,3867530000,2629.72998
04/05/2018,2621.449951,2670.929932,2615.320068,2663.419922,3335260000,2663.419922
07/05/2018,2680.340088,2683.350098,2664.699951,2672.629883,3266810000,2672.629883
08/05/2018,2670.26001,2676.340088,2655.199951,2671.919922,3745100000,2671.919922
09/05/2018,2678.120117,2701.27002,2674.139893,2697.790039,3913650000,2697.790039
10/05/2018,2705.02002,2726.110107,2704.540039,2723.070068,3380640000,2723.070068
11/05/2018,2722.699951,2732.860107,2717.449951,2727.719971,2874850000,2727.719971
14/05/2018,2738.469971,2742.100098,2725.469971,2730.129883,2994360000,2730.129883
15/05/2018,2718.590088,2718.590088,2701.909912,2711.449951,3291190000,2711.449951
16/05/2018,2712.620117,2727.76001,2712.169922,2722.459961,3248480000,2722.459961
17/05/2018,2719.709961,2731.959961,2711.360107,2720.129883,3478150000,2720.129883
18/05/2018,2717.350098,2719.5,2709.179932,2712.969971,3383270000,2712.969971
21/05/2018,2735.389893,2739.189941,2725.699951,2733.01001,3053480000,2733.01001
22/05/2018,2738.340088,2742.23999,2721.879883,2724.439941,3384140000,2724.439941
23/05/2018,2713.97998,2733.330078,2709.540039,2733.290039,3333160000,2733.290039
24/05/2018,2730.939941,2731.969971,2707.379883,2727.76001,3285750000,2727.76001
25/05/2018,2723.600098,2727.360107,2714.98999,2721.330078,3015260000,2721.330078
29/05/2018,2705.110107,2710.669922,2676.810059,2689.860107,3743310000,2689.860107
30/05/2018,2702.429932,2729.340088,2702.429932,2724.01001,3566490000,2724.01001
31/05/2018,2720.97998,2722.5,2700.679932,2705.27002,4241100000,2705.27002
01/06/2018,2718.699951,2736.929932,2718.699951,2734.620117,3694310000,2734.620117
04/06/2018,2741.669922,2749.159912,2740.540039,2746.870117,3410090000,2746.870117
05/06/2018,2748.459961,2752.610107,2739.51001,2748.800049,3523550000,2748.800049
06/06/2018,2753.25,2772.389893,2748.459961,2772.350098,3662780000,2772.350098
07/06/2018,2774.840088,2779.899902,2760.159912,2770.370117,3742080000,2770.370117
08/06/2018,2765.840088,2779.389893,2763.590088,2779.030029,3138850000,2779.030029
11/06/2018,2780.179932,2790.209961,2780.169922,2782,3262130000,2782
12/06/2018,2785.600098,2789.800049,2778.780029,2786.850098,3435700000,2786.850098
13/06/2018,2787.939941,2791.469971,2774.649902,2775.629883,3820770000,2775.629883
14/06/2018,2783.209961,2789.060059,2776.52002,2782.48999,3540930000,2782.48999
15/06/2018,2777.780029,2782.810059,2761.72998,2779.659912,5451990000,2779.659912
18/06/2018,2765.790039,2774.98999,2757.120117,2773.75,3316120000,2773.75
19/06/2018,2752.01001,2765.050049,2743.189941,2762.590088,3671160000,2762.590088
20/06/2018,2769.72998,2774.860107,2763.909912,2767.320068,3332140000,2767.320068
21/06/2018,2769.280029,2769.280029,2744.389893,2749.76001,3336580000,2749.76001
22/06/2018,2760.790039,2764.169922,2752.679932,2754.879883,5468110000,2754.879883
25/06/2018,2742.939941,2742.939941,2698.669922,2717.070068,3663280000,2717.070068
26/06/2018,2722.120117,2732.909912,2715.600098,2723.060059,3568900000,2723.060059
27/06/2018,2728.449951,2746.090088,2699.379883,2699.629883,3803990000,2699.629883
28/06/2018,2698.689941,2724.340088,2691.98999,2716.310059,3461100000,2716.310059
29/06/2018,2727.129883,2743.26001,2718.030029,2718.370117,3586800000,2718.370117
02/07/2018,2704.949951,2727.26001,2698.949951,2726.709961,3095040000,2726.709961
03/07/2018,2733.27002,2736.580078,2711.159912,2713.219971,1911460000,2713.219971
05/07/2018,2724.189941,2737.830078,2716.02002,2736.610107,2980160000,2736.610107
06/07/2018,2737.679932,2764.409912,2733.52002,2759.820068,2590250000,2759.820068
09/07/2018,2775.620117,2784.649902,2770.72998,2784.169922,3070060000,2784.169922
10/07/2018,2788.560059,2795.580078,2786.23999,2793.840088,3080140000,2793.840088
11/07/2018,2779.820068,2785.909912,2770.77002,2774.02002,2986180000,2774.02002
12/07/2018,2783.139893,2799.219971,2781.530029,2798.290039,2834230000,2798.290039
13/07/2018,2796.929932,2804.530029,2791.689941,2801.310059,2619790000,2801.310059
16/07/2018,2797.360107,2801.189941,2793.389893,2798.429932,2819860000,2798.429932
17/07/2018,2789.340088,2814.189941,2789.23999,2809.550049,3064920000,2809.550049
18/07/2018,2811.350098,2816.76001,2805.889893,2815.620117,3111560000,2815.620117
19/07/2018,2809.370117,2812.050049,2799.77002,2804.48999,3278360000,2804.48999
20/07/2018,2804.550049,2809.699951,2800.01001,2801.830078,3243250000,2801.830078
23/07/2018,2799.169922,2808.610107,2795.139893,2806.97998,2928490000,2806.97998
24/07/2018,2820.679932,2829.98999,2811.120117,2820.399902,3430410000,2820.399902
25/07/2018,2817.72998,2848.030029,2817.72998,2846.070068,3584400000,2846.070068
26/07/2018,2835.48999,2845.570068,2835.26001,2837.439941,3667290000,2837.439941
27/07/2018,2842.350098,2843.169922,2808.340088,2818.820068,3434370000,2818.820068
30/07/2018,2819,2821.73999,2798.110107,2802.600098,3261190000,2802.600098
31/07/2018,2809.72998,2824.459961,2808.060059,2816.290039,3906890000,2816.290039
01/08/2018,2821.169922,2825.830078,2805.850098,2813.360107,3501350000,2813.360107
02/08/2018,2800.47998,2829.909912,2796.340088,2827.219971,3501380000,2827.219971
03/08/2018,2829.620117,2840.379883,2827.370117,2840.350098,3043690000,2840.350098
06/08/2018,2840.290039,2853.290039,2835.97998,2850.399902,2879020000,2850.399902
07/08/2018,2855.919922,2863.429932,2855.919922,2858.449951,3185440000,2858.449951
08/08/2018,2856.790039,2862.439941,2853.090088,2857.699951,2978070000,2857.699951
09/08/2018,2857.189941,2862.47998,2851.97998,2853.580078,3066180000,2853.580078
10/08/2018,2838.899902,2842.199951,2825.810059,2833.280029,3265590000,2833.280029
13/08/2018,2835.459961,2843.399902,2819.879883,2821.929932,3173630000,2821.929932
14/08/2018,2827.879883,2843.110107,2826.580078,2839.959961,2986500000,2839.959961
15/08/2018,2827.949951,2827.949951,2802.48999,2818.370117,3656680000,2818.370117
16/08/2018,2831.439941,2850.48999,2831.439941,2840.689941,3.23E+09,2840.689941
17/08/2018,2838.320068,2855.629883,2833.72998,2850.129883,3037640000,2850.129883
20/08/2018,2853.929932,2859.76001,2850.620117,2857.050049,2757150000,2857.050049
21/08/2018,2861.51001,2873.22998,2861.320068,2862.959961,3174010000,2862.959961
22/08/2018,2860.98999,2867.540039,2856.050049,2861.820068,2701250000,2861.820068
23/08/2018,2860.290039,2868.780029,2854.030029,2856.97998,2724450000,2856.97998
24/08/2018,2862.350098,2876.159912,2862.350098,2874.689941,2603010000,2874.689941
27/08/2018,2884.689941,2898.25,2884.689941,2896.73999,2865070000,2896.73999
28/08/2018,2901.449951,2903.77002,2893.5,2897.52002,2687770000,2897.52002
29/08/2018,2900.620117,2916.5,2898.399902,2914.040039,2805520000,2914.040039
30/08/2018,2908.939941,2912.459961,2895.219971,2901.129883,2810450000,2901.129883
31/08/2018,2898.370117,2906.320068,2891.72998,2901.52002,2887220000,2901.52002
04/09/2018,2896.959961,2900.179932,2885.129883,2896.719971,3087420000,2896.719971
05/09/2018,2891.590088,2894.209961,2876.919922,2888.600098,3248780000,2888.600098
